"idCategory","category","codigo_base","siglas","parent_id"
1,ADMIN,"900",AD,
2,CAPILAR,"901",CA,
3,ACCESORIOS,"9011",CAAC,2
4,DECORACION,"901101",CAACDE,3
5,EXTENCIONES,"901101001",CAACDEEX,4
6,PEGAMENTO,"901101002",CAACDEPE,4
7,SUJETADOR,"901102",CAACSU,3
8,CINTILLO,"901102001",CAACSUCI,7
9,DIADEMA,"901102002",CAACSUDI,7
10,INVISIBLE,"901102003",CAACSUIN,7
11,LIGA,"901102004",CAACSULI,7
12,MALLA,"901102005",CAACSUMA,7
13,PINZA,"901102006",CAACSUPI,7
14,VINCHA,"901102007",CAACSUVI,7
15,HERRAMIENTAS,"9012",CAHE,2
16,CORTE,"901201",CAHECO,15
17,ATOMIZADOR,"901201001",CAHECOAT,16
18,CAPA,"901201002",CAHECOCA,16
19,CEPILLO,"901201003",CAHECOCE,16
20,GILLETE,"901201004",CAHECOGI,16
21,NAVAJA,"901201005",CAHECONA,16
22,PEINE,"901201006",CAHECOPE,16
23,RULO,"901201007",CAHECORU,16
24,TIJERA,"901201008",CAHECOTI,16
25,TOALLA,"901201009",CAHECOTO,16
27,MQ MÁQUINA,"901202",CAHEMQ,15
28,BARBERA,"901202001",CAHEMQBA,27
29,PLANCHA,"901202002",CAHEMQPL,27
30,REPUESTO,"901202003",CAHEMQRE,27
31,SECADORA,"901202004",CAHEMQSE,27
32,TEMPORIZADOR,"901202005",CAHEMQTE,27
33,TINTE,"901203",CAHETI,15
34,BROCHA,"901203001",CAHETIBR,33
35,GORRO,"901203002",CAHETIGO,33
36,GUANTE,"901203003",CAHETIGU,33
37,RECIPIENTE,"901203004",CAHETIRE,33
38,APLICADOR,"901203005",CAHETIAP,33
39,FRASCO,"901203006",CAHETIFR,33
40,PALETA,"901203007",CAHETIPA,33
41,CIRUJIA,"901204",CAHECI,15
42,PAPEL,"901204001",CAHECIPA,41
43,PRODUCTO,"9013",CAPR,2
44,CIRUJIA,"901301",CAPRCI,43
45,ALISADO,"901301001",CAPRCIAL,44
46,PERMANENTE,"901301002",CAPRCIPE,44
47,HIGIENE,"901302",CAPRHI,43
48,ACONDICIONADOR,"901302001",CAPRHIAC,47
49,SHAMPOO,"901302002",CAPRHISH,47
50,MOLDEADOR,"901303",CAPRMO,43
51,CERA,"901303001",CAPRMOCE,50
52,CREMA,"901303002",CAPRMOCR,50
53,FIJADOR,"901303003",CAPRMOFI,50
54,GEL,"901303004",CAPRMOGE,50
55,MOUSSE,"901303005",CAPRMOMO,50
56,SILICONA,"901303006",CAPRMOSI,50
57,LACA,"901303007",CAPRMOLA,50
58,TINTE,"901304",CAPRTI,43
59,ABLANDADOR,"901304001",CAPRTIAB,58
60,AGUA,"901304002",CAPRTIAG,58
61,AMONIACO,"901304003",CAPRTIAM,58
62,DECOLORANTE,"901304004",CAPRTIDE,58
63,FANTASÍA,"901304005",CAPRTIFA,58
64,OXIGENTA,"901304006",CAPRTIOX,58
65,MATIZANTE,"901304007",CAPRTIMA,58
66,TRATAMIENTO,"901305",CAPRTR,43
67,CUBRIMIENTO,"901305001",CAPRTRCU,66
68,HIDRATACION,"901305002",CAPRTRHI,66
69,MATIZANTE,"901305003",CAPRTRMA,66
70,NUTRICION,"901305004",CAPRTRNU,66
71,REPARACION,"901305005",CAPRTRRE,66
72,CORPORAL,"902",CO,
73,ACCESORIOS,"9021",COAC,72
74,DECORACION,"902101",COACDE,73
75,CUELLO,"902101001",COACDECU,74
76,HERRAMIENTAS,"9022",COHE,72
77,HIGIENE,"902201",COHEHI,76
78,ALGODÓN,"902201001",COHEHIAL,77
79,COTONETE,"902201002",COHEHICO,77
80,DEPILACIÓN,"902201003",COHEHIDE,77
81,MQ MÁQUINA,"902202",COHEMQ,76
82,DEPILACIÓN,"902202001",COHEMQDE,81
83,MASAJE,"902202002",COHEMQMA,81
84,PRODUCTO,"9023",COPR,72
85,HIGIENE,"902301",COPRHI,84
86,ALCOHOL,"902301001",COPRHIAL,85
87,CREMA,"902301002",COPRHICR,85
88,DEPILACIÓN,"902301003",COPRHIDE,85
89,GEL,"902301004",COPRHIGE,85
90,JABÓN,"902301005",COPRHIJA,85
91,PERFUME,"902301006",COPRHIPE,85
92,SPLASH,"902301007",COPRHISP,85
93,TRANSPIRACIÓN,"902301008",COPRHITR,85
94,TRATAMIENTO,"902302",COPRTR,84
95,EXFOLIANTE,"902302001",COPRTREX,94
96,HIDRATACIÓN,"902302002",COPRTRHI,94
97,NUTRICIÓN,"902302003",COPRTRNU,94
98,FACIAL,"903",FA,
134,LABIOS,"904",LA,
148,MANOS,"905",MA,
149,ACCESORIOS,"9051",MAAC,148
150,HERRAMIENTAS,"9052",MAHE,148
151,PRODUCTO,"9053",MAPR,148
152,TRATAMIENTO,"905301",MAPRTR,151
153,ACLARANTE,"905301001",MAPRTRAC,152
154,HIDRATACION,"905301002",MAPRTRHI,152
156,ACCESORIOS,"9031",FAAC,98
157,HERRAMIENTAS,"9032",FAHE,98
158,PRODUCTO,"9033",FAPR,98
159,HIGIENE,"903201",FAHEHI,157
160,EXFOLIANTE,"903201001",FAHEHIEX,159
161,PAÑO,"903201002",FAHEHIPA,159
162,MAQUILLAJE,"903202",FAHEMA,157
163,BLENDER,"903202001",FAHEMABL,162
164,BROCHA,"903202002",FAHEMABR,162
165,ESPONJA,"903202003",FAHEMAES,162
166,TOALLA,"903202004",FAHEMATO,162
167,MQ MÁQUINA,"903203",FAHEMQ,157
168,EXFOLIANTE,"903203001",FAHEMQEX,167
169,MASAJE,"903203002",FAHEMQMA,167
170,HIGIENE,"903301",FAPRHI,158
171,ESPUMA,"903301001",FAPRHIES,170
172,GEL,"903301002",FAPRHIGE,170
173,JABÓN,"903301003",FAPRHIJA,170
174,MAQUILLAJE,"903302",FAPRMA,158
175,TRATAMIENTO,"903303",FAPRTR,158
176,BASE,"903302001",FAPRMABA,174
177,CONTORNO,"903302002",FAPRMACO,174
178,CR CORRECTOR,"903302003",FAPRMACR,174
179,ILUMINADOR,"903302004",FAPRMAIL,174
180,PINTURA,"903302005",FAPRMAPI,174
181,POLVO,"903302006",FAPRMAPO,174
182,PRIMER,"903302007",FAPRMAPR,174
183,RUBOR,"903302008",FAPRMARU,174
184,SELLADOR,"903302009",FAPRMASE,174
185,ACLARANTE,"903303001",FAPRTRAC,175
186,DESMAQUILLANTE,"903303002",FAPRTRDE,175
187,EXFOLIANTE,"903303003",FAPRTREX,175
188,HIDRATACION,"903303004",FAPRTRHI,175
189,MASCARILLA,"903303005",FAPRTRMA,175
190,NUTRICION,"903303006",FAPRTRNU,175
191,PROTECTOR,"903303007",FAPRTRPR,175
192,OJOS,"906",OJ,
193,ACCESORIOS,"9061",OJAC,192
194,HERRAMIENTAS,"9062",OJHE,192
195,PRODUCTO,"9063",OJPR,192
196,DECORACION,"906101",OJACDE,193
197,ESCARCHA,"906101001",OJACDEES,196
198,PEGAMENTO,"906101002",OJACDEPE,196
199,PS PESTAÑAS,"906101003",OJACDEPS,196
200,HIGIENE,"906201",OJHEHI,194
201,NAVAJA,"906201001",OJHEHINA,200
202,PINZA,"906201002",OJHEHIPI,200
203,MAQUILLAJE,"906202",OJHEMA,194
204,BROCHA,"906202001",OJHEMABR,203
205,RIZADOR,"906202002",OJHEMARI,203
206,MAPPING,"906202003",OJHEMAMA,203
207,APLICADOR,"906202004",OJHEMAAP,203
208,CEPILLO,"906202005",OJHEMACE,203
209,COMPÁS,"906202006",OJHEMACO,203
210,CINTA,"906202007",OJHEMACI,203
211,MQ MÁQUINA,"906203",OJHEMQ,194
212,PERFILADOR,"906203001",OJHEMQPE,211
213,HIGIENE,"906301",OJPRHI,195
214,JABÓN,"906301001",OJPRHIJA,213
215,REMOVEDOR,"906301002",OJPRHIRE,213
216,MAQUILLAJE,"906302",OJPRMA,195
217,BETUM,"906302001",OJPRMABE,216
218,CORRECTOR,"906302002",OJPRMACO,216
219,DELINEADOR,"906302003",OJPRMADE,216
220,GEL,"906302004",OJPRMAGE,216
221,GLITTER,"906302005",OJPRMAGL,216
222,ILUMINADOR,"906302006",OJPRMAIL,216
223,NEÓN,"906302007",OJPRMANE,216
224,PRIMER,"906302008",OJPRMAPR,216
225,RIMEL,"906302009",OJPRMARI,216
226,ROTULADOR,"906302010",OJPRMARO,216
227,SOMBRA,"906302011",OJPRMASO,216
228,TRATAMIENTO,"906303",OJPRTR,195
229,DESMAQUILLANTE,"906303001",OJPRTRDE,228
230,HIDRATACION,"906303002",OJPRTRHI,228
231,CIRUJIA,"906304",OJPRCI,195
232,PERMANENTE,"906304001",OJPRCIPE,231
233,PIES,"907",PI,
234,ACCESORIOS,"9071",PIAC,233
235,HERRAMIENTAS,"9072",PIHE,233
236,PRODUCTO,"9073",PIPR,233
237,HIGIENE,"907201",PIHEHI,235
238,CEPILLO,"907201001",PIHEHICE,237
239,CORTADOR,"907201002",PIHEHICO,237
240,EXFOLIANTE,"907201003",PIHEHIEX,237
241,PEDICURE,"907201004",PIHEHIPE,237
242,MASAJE,"907201005",PIHEHIMA,237
243,TRATAMIENTO,"907301",PIPRTR,236
244,ACLARANTE,"907301001",PIPRTRAC,243
245,EXFOLIANTE,"907301002",PIPRTREX,243
246,HIDRATACION,"907301003",PIPRTRHI,243
247,UÑAS,"908",UÑ,
248,ACCESORIOS,"9081",UÑAC,247
249,HERRAMIENTAS,"9082",UÑHE,247
250,PRODUCTO,"9083",UÑPR,247
251,DECORACION,"908101",UÑACDE,248
252,ADHESIVO,"908101001",UÑACDEAD,251
253,CONFETTI,"908101002",UÑACDECO,251
254,FOIL,"908101003",UÑACDEFO,251
255,NL NAIL,"908101004",UÑACDENL,251
256,NATURALEZA,"908101005",UÑACDENA,251
257,PIEDRA,"908101006",UÑACDEPI,251
258,TIPS,"908101007",UÑACDETI,251
259,DECORACION,"908201",UÑHEDE,249
260,ESMALTE,"908202",UÑHEES,249
261,HIGIENE,"908203",UÑHEHI,249
262,MQ MÁQUINA,"908204",UÑHEMQ,249
263,ACCESORIOS,"908205",UÑHEAC,249
264,PEGAMENTO,"908201001",UÑHEDEPE,259
265,PLACA,"908201002",UÑHEDEPL,259
266,PINCEL,"908202001",UÑHEESPI,260
267,PN PINZA,"908202002",UÑHEESPN,260
268,SELLO,"908202003",UÑHEESSE,260
277,LÁMPARA,"908204001",UÑHEMQLÁ,262
278,PULIDOR,"908204002",UÑHEMQPU,262
279,DRILL,"908204003",UÑHEMQDR,262
280,SECADORA,"908204004",UÑHEMQSE,262
281,IMPLEMENTOS,"908205001",UÑHEACIM,263
282,MPIGMENTACION,"909",MP,
283,ACCESORIOS,"9091",MPAC,282
284,HERRAMIENTAS,"9092",MPHE,282
285,PRODUCTO,"9093",MPPR,282
286,HIGIENE,"909101",MPACHI,283
287,CONFORT,"909101001",MPACHICO,286
288,DESECHABLES,"909101002",MPACHIDE,286
289,RECIPIENTE,"909201",MPHERE,284
290,MQ MÁQUINA,"909202",MPHEMQ,284
291,PRÁCTICA,"909203",MPHEPR,284
292,ORGANIZACIÓN,"909204",MPHEOR,284
293,TINTE,"909205",MPHETI,284
294,DISPENSADOR,"909201001",MPHEREDI,289
295,TINTA,"909201002",MPHERETI,289
296,BIO,"909201003",MPHEREBI,289
298,AGUJAS,"909202001",MPHEMQAG,290
299,ELÉCTRICA,"909202002",MPHEMQEL,290
300,INSTRUMENTO,"909202003",MPHEMQIN,290
301,CABEZA,"909203001",MPHEPRCA,291
302,PIEL,"909203002",MPHEPRPI,291
303,ALMACENAMIENTO,"909204001",MPHEORAL,292
304,HIGIENE,"909205001",MPHETIHI,293
305,ANESTESIA,"909301",MPPRAN,285
306,PIGMENTOS,"909302",MPPRPI,285
307,PARCHE,"909301001",MPPRANPA,305
308,CREMA,"909301002",MPPRANCR,305
309,GEL,"909301003",MPPRANGE,305
310,SPRAY,"909301004",MPPRANSP,305
311,INYECTABLE,"909301005",MPPRANIN,305
312,AGUJAS,"909301006",MPPRANAG,305
313,ESPUMA,"909301007",MPPRANES,305
314,TINTA,"909302001",MPPRPITI,306
315,DILUYENTE,"909302002",MPPRPIDI,306
316,HENNA,"909302003",MPPRPIHE,306
317,HOGAR,"910",HO,
318,ACCESORIOS,"9101",HOAC,317
319,HERRAMIENTAS,"9102",HOHE,317
320,PRODUCTO,"9103",HOPR,317
321,ORGANIZACIÓN,"910101",HOACOR,318
322,ALMACENAMIENTO,"910101001",HOACORAL,321
323,COSTURA,"910101002",HOACORCO,321
324,ILUMINACIÓN,"910101003",HOACORIL,321
325,VISIÓN,"910101004",HOACORVI,321
326,AMBIENTE,"910101005",HOACORAM,321
327,MQ MÁQUINA,"910201",HOHEMQ,319
328,AMBIENTE,"910201001",HOHEMQAM,327
329,SEXSHOP,"911",SE,
330,ACCESORIOS,"9111",SEAC,329
331,HERRAMIENTAS,"9112",SEHE,329
332,PRODUCTO,"9113",SEPR,329
333,VESTIMENTA,"911101",SEACVE,330
334,DISFRÁS,"911101001",SEACVEDI,333
335,JUGUETES,"911201",SEHEJU,331
336,MQ MÁQUINA,"911202",SEHEMQ,331
337,ANAL,"911201001",SEHEJUAN,335
338,DIVERSIÓN,"911201002",SEHEJUDI,335
339,VIBRADOR,"911202001",SEHEMQVI,336
340,ESTIMULANTE,"911301",SEPRES,332
341,HIGIENE,"911302",SEPRHI,332
342,PERFUME,"911303",SEPRPE,332
343,MAQUILLAJE,"911304",SEPRMA,332
344,AFRODISIACO,"911301001",SEPRESAF,340
345,MASAJE,"911301002",SEPRESMA,340
346,SUPLEMENTO,"911301003",SEPRESSU,340
347,JABÓN,"911302001",SEPRHIJA,341
348,SPLASH,"911303001",SEPRPESP,342
349,FEROMONAS,"911303002",SEPRPEFE,342
350,BRILLO,"911304001",SEPRMABR,343
351,ACCESORIOS,"9041",LAAC,134
352,HERRAMIENTAS,"9042",LAHE,134
353,PRODUCTO,"9043",LAPR,134
354,MAQUILLAJE,"904301",LAPRMA,353
355,TRATAMIENTO,"904302",LAPRTR,353
356,BALSAMO,"904301001",LAPRMABA,354
357,BRILLO,"904301002",LAPRMABR,354
358,GLOSS,"904301003",LAPRMAGL,354
359,LABIAL,"904301004",LAPRMALA,354
360,LP LAPIZ,"904301005",LAPRMALP,354
366,LL LIQUIDO,"904301006",LAPRMALL,354
367,LM MAGICO,"904301007",LAPRMALM,354
368,PRIMER,"904301008",LAPRMAPR,354
369,TINTA,"904301009",LAPRMATI,354
370,VASELINA,"904301010",LAPRMAVA,354
371,HIDRATACION,"904302001",LAPRTRHI,355
372,CEPILLO,"908203001",UÑHEHICE,261
373,CORTADOR,"908203002",UÑHEHICO,261
374,DISCO,"908203003",UÑHEHIDI,261
375,EMPUJADOR,"908203004",UÑHEHIEM,261
376,KIT,"908203005",UÑHEHIKI,261
377,LIMA,"908203006",UÑHEHILI,261
378,PULIDOR,"908203007",UÑHEHIPU,261
379,RECIPIENTE,"908203008",UÑHEHIRE,261
380,SEPARADOR,"908203009",UÑHEHISE,261
381,ACRILICO,"908301",UÑPRAC,250
382,BRILLO,"908302",UÑPRBR,250
383,ESMALTE,"908303",UÑPRES,250
384,TRATAMIENTO,"908304",UÑPRTR,250
385,BRILLO,"908301001",UÑPRACBR,381
386,FINISH,"908301002",UÑPRACFI,381
387,MONOMERO,"908301003",UÑPRACMO,381
388,PINTURA,"908301004",UÑPRACPI,381
389,POLVO,"908301005",UÑPRACPO,381
390,PRIMER,"908301006",UÑPRACPR,381
391,REMOVEDOR,"908301007",UÑPRACRE,381
392,TOPCOAT,"908301008",UÑPRACTO,381
393,GEL,"908301009",UÑPRACGE,381
394,GEL,"908302001",UÑPRBRGE,382
395,MATE,"908302002",UÑPRBRMA,382
396,NORMAL,"908302003",UÑPRBRNO,382
397,SECANTE,"908302004",UÑPRBRSE,382
398,DECORACION,"908303001",UÑPRESDE,383
399,DISOLVENTE,"908303002",UÑPRESDI,383
400,ESCARCHA,"908303003",UÑPRESES,383
401,EP ESPEJO,"908303004",UÑPRESEP,383
402,GEL,"908303005",UÑPRESGE,383
403,GLITTER,"908303006",UÑPRESGL,383
404,MATIZANTE,"908303007",UÑPRESMA,383
405,METALICO,"908303008",UÑPRESME,383
406,NEON,"908303009",UÑPRESNE,383
407,NORMAL,"908303010",UÑPRESNO,383
412,SATINADO,"908303011",UÑPRESSA,383
413,SECANTE,"908303012",UÑPRESSE,383
414,SOLVENTE,"908303013",UÑPRESSO,383
415,RUBBER,"908303014",UÑPRESRU,383
416,ABLANDADOR,"908304001",UÑPRTRAB,384
417,CICATRIZANTE,"908304002",UÑPRTRCI,384
418,ENDURECEDOR,"908304003",UÑPRTREN,384
419,HIDRATACION,"908304004",UÑPRTRHI,384
420,NUTRICION,"908304005",UÑPRTRNU,384
421,PROTECTOR,"908304006",UÑPRTRPR,384
422,REMOVEDOR,"908304007",UÑPRTRRE,384
423,RP REPARACION,"908304008",UÑPRTRRP,384
